iter	Passed	Remaining
615	6820	4251
616	6831	4240
617	6843	4229
618	6855	4219
619	6866	4208
620	6879	4198
621	6891	4187
622	6903	4177
623	6914	4166
624	6929	4157
625	6949	4151
626	6960	4140
627	6971	4129
628	6982	4118
629	6994	4107
630	7005	4096
631	7017	4085
632	7030	4075
633	7043	4066
634	7054	4054
635	7066	4044
636	7077	4033
637	7089	4022
638	7101	4011
639	7112	4001
640	7124	3990
641	7135	3979
642	7147	3968
643	7158	3957
644	7171	3946
645	7183	3936
646	7194	3925
647	7208	3915
648	7220	3905
649	7232	3894
650	7242	3882
651	7254	3871
652	7266	3861
653	7278	3850
654	7290	3840
655	7302	3829
656	7314	3818
657	7326	3808
658	7338	3797
659	7350	3786
660	7362	3775
661	7374	3765
662	7386	3754
663	7398	3743
664	7408	3732
665	7421	3721
666	7432	3710
667	7443	3699
668	7455	3688
669	7466	3677
670	7478	3667
671	7489	3655
672	7500	3644
673	7512	3633
674	7523	3622
675	7535	3611
676	7547	3601
677	7560	3590
678	7572	3579
679	7584	3569
680	7596	3558
681	7608	3547
682	7619	3536
683	7630	3525
684	7641	3513
685	7653	3503
686	7664	3491
687	7673	3479
688	7683	3468
689	7693	3456
690	7703	3444
691	7713	3433
692	7723	3421
693	7732	3409
694	7743	3398
695	7752	3386
696	7764	3375
697	7775	3364
698	7785	3352
699	7795	3341
700	7807	3329
701	7818	3318
702	7830	3308
703	7841	3296
704	7853	3286
705	7866	3275
706	7878	3265
707	7889	3253
708	7901	3242
709	7912	3231
710	7922	3220
711	7932	3208
712	7942	3196
713	7951	3185
714	7961	3173
715	7971	3161
716	7980	3150
717	7990	3138
718	8000	3126
719	8010	3115
720	8023	3104
721	8032	3092
722	8042	3081
723	8053	3070
724	8064	3058
725	8074	3047
726	8084	3035
727	8094	3024
728	8104	3012
729	8114	3001
730	8124	2989
731	8133	2977
732	8142	2966
733	8153	2954
734	8163	2943
735	8173	2931
736	8184	2920
737	8194	2909
738	8204	2897
739	8213	2885
740	8224	2874
741	8235	2863
742	8244	2851
743	8255	2840
744	8264	2828
745	8274	2817
746	8284	2805
747	8293	2794
748	8304	2782
749	8313	2771
750	8323	2759
751	8333	2748
752	8343	2736
753	8353	2725
754	8363	2713
755	8383	2705
756	8398	2695
757	8410	2685
758	8420	2673
759	8430	2662
760	8440	2650
761	8450	2639
762	8459	2627
763	8469	2616
764	8480	2605
765	8490	2593
766	8500	2582
767	8509	2570
768	8519	2559
769	8530	2548
770	8539	2536
771	8550	2525
772	8560	2513
773	8572	2503
774	8582	2491
775	8591	2480
776	8601	2468
777	8612	2457
778	8621	2445
779	8631	2434
780	8641	2423
781	8651	2411
782	8661	2400
783	8671	2389
784	8681	2377
785	8690	2366
786	8701	2355
787	8711	2343
788	8721	2332
789	8731	2321
790	8741	2309
791	8750	2298
792	8761	2287
793	8771	2275
794	8781	2264
795	8790	2252
796	8800	2241
797	8812	2230
798	8822	2219
799	8832	2208
800	8842	2196
801	8852	2185
802	8862	2174
803	8871	2162
804	8881	2151
805	8891	2140
806	8901	2128
807	8911	2117
808	8921	2106
809	8931	2095
810	8942	2083
811	8952	2072
812	8962	2061
813	8972	2050
814	8982	2039
815	8993	2027
816	9004	2016
817	9013	2005
818	9024	1994
819	9033	1983
820	9043	1971
821	9053	1960
822	9062	1949
823	9073	1937
824	9085	1927
825	9094	1915
826	9104	1904
827	9114	1893
828	9124	1882
829	9134	1870
830	9144	1859
831	9155	1848
832	9164	1837
833	9175	1826
834	9185	1815
835	9195	1803
836	9205	1792
837	9216	1781
838	9227	1770
839	9237	1759
840	9246	1748
841	9257	1737
842	9266	1725
843	9276	1714
844	9286	1703
845	9296	1692
846	9307	1681
847	9316	1670
848	9326	1658
849	9336	1647
850	9346	1636
851	9356	1625
852	9367	1614
853	9376	1603
854	9387	1591
855	9396	1580
856	9407	1569
857	9417	1558
858	9427	1547
859	9437	1536
860	9447	1525
861	9456	1513
862	9467	1502
863	9477	1491
864	9487	1480
865	9496	1469
866	9506	1458
867	9516	1447
868	9526	1436
869	9536	1425
870	9546	1413
871	9555	1402
872	9566	1391
873	9575	1380
874	9587	1369
875	9598	1358
876	9608	1347
877	9618	1336
878	9628	1325
879	9639	1314
880	9649	1303
881	9659	1292
882	9669	1281
883	9680	1270
884	9689	1259
885	9699	1248
886	9709	1236
887	9719	1225
888	9730	1214
889	9739	1203
890	9751	1192
891	9761	1181
892	9771	1170
893	9781	1159
894	9792	1148
895	9802	1137
896	9812	1126
897	9831	1116
898	9840	1105
899	9850	1094
900	9860	1083
901	9870	1072
902	9880	1061
903	9889	1050
904	9900	1039
905	9910	1028
906	9920	1017
907	9930	1006
908	9940	995
909	9950	984
910	9960	973
911	9970	962
912	9980	951
913	9991	940
914	10001	929
915	10011	918
916	10021	907
917	10031	896
918	10042	885
919	10061	874
920	10087	865
921	10100	854
922	10114	843
923	10126	832
924	10136	821
925	10147	810
926	10158	799
927	10168	788
928	10179	777
929	10198	767
930	10208	756
931	10220	745
932	10231	734
933	10242	723
934	10254	712
935	10264	701
936	10275	690
937	10288	680
938	10300	669
939	10313	658
940	10324	647
941	10336	636
942	10348	625
943	10360	614
944	10372	603
945	10383	592
946	10395	581
947	10406	570
948	10419	559
949	10429	548
950	10441	538
951	10454	527
952	10464	516
953	10475	505
954	10488	494
955	10498	483
956	10510	472
957	10522	461
958	10533	450
959	10544	439
960	10555	428
961	10566	417
962	10576	406
963	10591	395
964	10602	384
965	10614	373
966	10626	362
967	10637	351
968	10649	340
969	10660	329
970	10671	318
971	10682	307
972	10692	296
973	10703	285
974	10715	274
975	10727	263
976	10739	252
977	10749	241
978	10759	230
979	10771	219
980	10783	208
981	10793	197
982	10805	186
983	10816	175
984	10830	164
985	10842	153
986	10865	143
987	10881	132
988	10896	121
989	10910	110
990	10924	99
991	10937	88
992	10950	77
993	10963	66
994	10979	55
995	10999	44
996	11017	33
997	11031	22
998	11045	11
999	11058	0
